Word,Count
"



this",83
calibre,83
downloaded,83
between,74
two,68
"下一個





上一個",65
make,57
trump,56
said,55
because,54
state,44
under,43
being,43
against,42
both,42
take,42
big,42
another,41
political,40
down,40
made,39
long,39
far,38
party,38
part,36
good,36
election,36
including,36
without,35
same,35
called,34
trade,34
each,34
money,34
european,34
national,33
did,33
local,32
countries,32
you,32
see,32
almost,32
few,31
little,31
economic,31
three,31
number,31
better,31
half,30
social,30
financial,30
whether,29
law,29
small,29
airbnb,28
end,27
across,27
world’s,27
fishing,26
use,26
capital,26
well,26
temer,26
markets,25
seems,25
during,25
labour,25
worth,25
several,24
took,24
go,24
while,24
using,24
we,24
hong,24
come,23
must,23
america’s,23
among,23
human,23
able,23
health,22
donald,22
ocean,22
however,22
cut,22
police,22
whose,22
growth,21
tax,21
once,21
private,21
middle,21
nearly,21
cost,21
until,21
light,20
times,20
within,20
put,20
german,20
known,20
doing,20
own,19
insurance,19
every,19
foreign,19
trump’s,19
total,19
why,18
britain,18
inflation,18
outside,18
digital,18
keep,18
university,18
return,18
south,18
early,18
prime,18
never,18
rather,17
ten,17
value,17
chief,17
members,17
house,17
according,17
man,17
campaign,17
central,17
real,17
british,17
rate,17
country’s,17
five,17
along,17
previous,17
agreed,16
looks,16
chinese,16
head,16
approach,16
despite,16
rise,16
biggest,16
remote,16
behind,16
interest,16
started,16
your,16
online,16
week,16
getting,15
centre,15
tower,15
returns,15
machine-learning,15
top,15
leaders,15
thought,15
either,15
mean,15
left,15
president,15
prisons,15
russian,15
start,15
caught,15
avoid,15
single,15
workers,14
higher,14
recently,14
officials,14
white,14
expected,14
though,14
female,14
themselves,14
meeting,14
least,14
governments,14
near,14
rights,14
men,14
lost,14
towards,14
very,14
means,14
economist,14
official,14
calls,14
manchester,14
makes,14
young,14
code,14
having,14
per,14
old,14
best,14
military,14
april,13
job,13
minister,13
turn,13
italian,13
greater,13
others,13
martial,13
spent,13
prices,13
particularly,13
important,13
pay,13
yield,13
manifesto,13
china’s,13
fell,13
probably,13
won,13
selling,13
moved,13
xi,13
marine,13
looking,13
promised,13
bring,13
great,13
firm,13
sign,13
came,13
perhaps,12
six,12
something,12
women,12
ukraine,12
"下一個





the",12
jihadists,12
stocks,12
cash,12
libya,12
water,12
level,12
gave,12
news,12
free,12
got,12
although,12
industrial,12
hopes,12
scale,12
raise,12
individual,12
anyone,12
bad,12
stop,12
army,12
imperial,12
harder,12
african,12
powerful,12
partly,12
beyond,12
cannot,12
southern,12
becoming,12
latest,12
rest,12
allowed,12
intelligence,12
democratic,12
smart,11
bought,11
ones,11
leader,11
problems,11
towers,11
hit,11
gets,11
groups,11
western,11
criminal,11
exchange,11
stockmarket,11
believe,11
armed,11
saudi,11
france,11
don’t,11
uses,11
compared,11
based,11
similar,11
trying,11
conservative,11
valuable,11
offer,11
now,11
britain’s,11
reduce,11
