the,252117
of,149514
to,136484
a,115976
in,102178
and,98192
is,63270
he,55917
that,54151
for,45136
by,33823
on,33648
it,32359
as,32103
are,31997
from,28097
with,28033
has,27961
his,27227
be,25702
was,25565
r,24647
have,24281
an,20983
not,20063
its,18783
at,18430
more,17726
their,17572
will,16776
n,16443
they,16141
or,15328
which,14926
than,14121
ut,13598
s,12915
would,12742
who,12041
this,11987
but,11687
t,11033
up,10742
been,10664
one,10285
had,9732
th,9516
were,9472
about,9166
can,8891
says,8733
new,8527
out,8353
also,8265
them,8264
all,8055
such,8004
year,7838
government,7801
other,7553
may,7453
ext,7447
people,7421
years,7413
over,7359
into,7290
article,7259
e,7110
some,7012
most,6995
could,6804
so,6593
only,6507
when,6488
many,6242
now,6231
rticles,5966
ections,5964
hat,5830
no,5804
revious,5786
if,5646
after,5594
merica,5574
two,5561
hina,5560
first,5443
do,5442
print,5417
much,5347
edition,5338
even,5264
there,5214
any,5117
like,5046
o,5045
her,5042
merican,4947
time,4931
those,4900
rom,4850
rump,4777
just,4773
what,4751
nd,4699
downloaded,4684
calibre,4678
make,4542
m,4534
countries,4484
firms,4482
too,4406
between,4404
last,4378
world,4346
since,4275
still,4239
less,4123
see,4039
should,4000
because,3985
might,3966
hey,3941
ritain,3924
state,3874
way,3866
against,3863
under,3852
country,3845
she,3832
where,3811
said,3811
how,3806
big,3780
enu,3772
him,3692
work,3550
made,3546
f,3502
president,3487
before,3486
own,3436
et,3384
economy,3375
political,3366
power,3349
these,3342
uropean,3322
down,3298
being,3294
party,3247
around,3245
market,3211
well,3199
then,3048
back,3037
long,3033
here,3022
both,3022
business,3016
ome,2995
trade,2966
take,2904
through,2900
hinese,2886
mericas,2873
ay,2865
minister,2831
companies,2813
another,2805
public,2800
firm,2795
banks,2779
get,2768
economic,2761
money,2757
you,2752
part,2736
far,2704
often,2704
though,2697
urope,2690
does,2679
few,2678
off,2666
three,2650
past,2643
system,2635
election,2634
better,2616
become,2595
same,2575
used,2562
did,2541
ew,2538
billion,2536
good,2495
deal,2477
use,2469
outh,2467
help,2461
say,2450
foreign,2448
little,2446
ne,2410
including,2409
ain,2392
growth,2381
war,2359
financial,2356
former,2352
week,2350
rexit,2334
need,2325
already,2315
hen,2306
governments,2301
next,2295
change,2274
recent,2273
end,2267
ritish,2240
ow,2226
data,2209
among,2201
hard,2200
found,2189
likely,2176
hinas,2175
prices,2169
local,2169
ago,2155
pay,2153
rates,2145
oil,2140
capital,2130
policy,2127
global,2123
least,2113
number,2109
without,2105
called,2099
go,2094
ast,2075
company,2060
biggest,2058
must,2055
tax,2048
home,2045
come,2029
niversity,2028
law,2026
set,2021
right,2007
each,1974
rather,1970
vote,1968
almost,1963
group,1963
put,1962
jobs,1943
section,1915
workers,1911
second,1903
small,1903
prime,1899
support,1896
ection,1891
half,1875
city,1875
-,1873
ts,1870
want,1860
markets,1847
example,1838
industry,1823
voters,1817
national,1814
rs,1812
technology,1807
ong,1806
interest,1802
bank,1799
once,1798
while,1787
day,1776
things,1762
high,1755
months,1750
campaign,1745
rules,1744
politics,1733
y,1731
enough,1728
rate,1727
states,1726
very,1726
share,1723
yet,1716
investment,1715
left,1711
across,1709
countrys,1705
worlds,1700
place,1692
whether,1683
rumps,1672
future,1667
different,1663
find,1661
problem,1650
every,1649
bn,1648
keep,1640
old,1633
days,1631
away,1626
ven,1624
children,1622
ussia,1621
crisis,1621
ritains,1619
cost,1619
early,1618
investors,1615
central,1611
ones,1606
seems,1606
case,1602
we,1601
others,1600
making,1596
police,1595
best,1594
makes,1593
onald,1588
month,1587
young,1584
services,1582
women,1573
life,1562
run,1562
ondon,1561
times,1545
large,1530
frica,1529
during,1521
control,1520
known,1517
itself,1515
appeared,1512
never,1505
social,1492
means,1491
four,1489
our,1487
according,1482
five,1480
think,1477
spending,1467
leader,1464
took,1450
rise,1440
nited,1439
members,1438
again,1437
poor,1430
arty,1430
came,1419
however,1418
recently,1414
price,1408
private,1408
themselves,1402
security,1400
fter,1390
ever,1389
uch,1386
whose,1384
within,1381
ank,1379
ar,1375
main,1372
idea,1362
higher,1361
point,1359
cut,1348
leaders,1343
third,1341
average,1337
costs,1332
wants,1332
low,1331
ore,1328
until,1326
free,1326
later,1320
turn,1319
